price_text,title,location,location_info,description,details_url,contact_info,search_url,scraped_at
"298 000 €582 837,34 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Дианабад","град София, Дианабад
107 кв.м","3-ти ет., ТЕЦ, Arco real estate представя ЕКСКЛУЗИВНОДом, в който всеки прозорец гледа към бъдещето.Всеки имот има  ...",https://www.imoti.com/obiava/76874362/prodava-3-staen-grad-sofiya-dianabad,0896667314,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.298453
"319 000 €623 909,77 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Дианабад","град София, Дианабад
104 кв.м",,https://www.imoti.com/obiava/81924537/prodava-3-staen-grad-sofiya-dianabad,0877441443,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.298839
"330 000 €645 423,90 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Дианабад","град София, Дианабад
100 кв.м","2-ри ет., ТЕЦ, Топъл тристаен обзаведен апартамент,чиста квадратура.Продажбата е без комисионна.,не се дължи ДДС",https://www.imoti.com/obiava/67187218/prodava-3-staen-grad-sofiya-dianabad,0888466444,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.299198
"370 655 €724 938,17 лв.Цената е без ДДС",Продава  3-стаен,"град София, Дианабад","град София, Дианабад
130 кв.м","5-ти ет., ТЕЦ, LUXIMMO FINEST ESTATES: www.luximmo.bgЕксклузивно представяме за продажба тристаен апартамент в сгра ...",https://www.imoti.com/obiava/82219542/prodava-3-staen-grad-sofiya-dianabad,0882817572,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.299566
"448 000 €876 211,84 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Дианабад","град София, Дианабад
213 кв.м","6-ти ет., Comfort Properties Group има удоволствието да Ви представи Тристаен Апартамент с просторна тераса и  ...",https://www.imoti.com/obiava/16673018/prodava-3-staen-grad-sofiya-dianabad,0888004001,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.299930
"525 000 €1 026 810,75 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Дианабад","град София, Дианабад
122 кв.м","4-ти ет., НОВА СГРАДА С АКТ 16!  Представяме на Вашето внимание тристаен апартамент, разположен на ул. Тинтява ...",https://www.imoti.com/obiava/36895090/prodava-3-staen-grad-sofiya-dianabad,0887 219 224,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.300286
"525 000 €1 026 810,75 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Дианабад","град София, Дианабад
122 кв.м","4-ти ет., ТЕЦ, 'Явлена' предлага луксозен, обзаведен тристаен апартамент на ул. Тинтява. Имотът е с площ от ...",https://www.imoti.com/obiava/72099169/prodava-3-staen-grad-sofiya-dianabad,0892538799,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.300658
"415 000 €811 669,45 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Докторски паметник","град София, Докторски паметник
86 кв.м","1-ви ет., ТЕЦ, Продаваме интересен имот, чието разпределениe и локация го прави подходящ да се използва по множеств ...",https://www.imoti.com/obiava/30544844/prodava-3-staen-grad-sofiya-doktorski-pametnik,0885441447,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.301012
"419 999 €821 446,64 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Докторски паметник","град София, Докторски паметник
125 кв.м","3-ти ет., Представяме Ви слънчев и просторен имот в сграда на тиха и спокойна улица Марица, на 5 минути пешехо ...",https://www.imoti.com/obiava/11969562/prodava-3-staen-grad-sofiya-doktorski-pametnik,0887770927,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.301371
"433 997 €848 824,35 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Докторски паметник","град София, Докторски паметник
111 кв.м","4-ти ет., ТЕЦ, ✨ Луксозен апартамент с ЮЖНО изложение и директна гледка към парк  Заимов , разположен в нова ...",https://www.imoti.com/obiava/89930001/prodava-3-staen-grad-sofiya-doktorski-pametnik,0882266226,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:52.179701
"439 000 €858 609,37 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Докторски паметник","град София, Докторски паметник
105 кв.м","7-ми ет., ТЕЦ, Явлена представя за продажба просторен тристаен апартамент с отделна кухня. Жилището е с застроена п ...",https://www.imoti.com/obiava/17746593/prodava-3-staen-grad-sofiya-doktorski-pametnik,0892510014,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:52.180062
