id,type,url,time,location,title,description,status,photos,price_value,price_currency,price_per_square_meter,price_period,main_photo,is_favorite,offer_type,property_type,date_added,search_url,total_offers,location_id,neighborhoods,main_property_type
34730,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-8598m2-plovdiv-s.krumovo/la34730,,"с.Крумово, Пловдив","Земеделска земя, 8598m²",Друго,1,['https://homes.bg/2025-01-07_1/112603895'],172000.0,EUR,20 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633261,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
33717,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-4780m2-montana-zhk.-zheravica/la33717,,"жк. Жеравица, Монтана","Земеделска земя, 4780m²","Категория 3, Нива",1,[],210000.0,ЛЕВА,43 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633271,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34729,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-1500m2-hisarya-s.belovica/la34729,,"с.Беловица, Хисаря","Земеделска земя, 1500m²","Категория 6, Нива",1,"['https://homes.bg/2025-01-06_2/112590854', 'https://homes.bg/2025-01-06_2/112590855', 'https://homes.bg/2025-01-06_2/112590856', 'https://homes.bg/2025-01-06_2/112590857']",6000.0,ЛЕВА,4 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633283,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34569,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2439m2-blagoevgrad-pyrva-promishlena-zona/la34569,," Първа Промишлена Зона, Благоевград","Земеделска земя, 2439m²","Категория 4, Овощна градина",1,"['https://homes.bg/2024-11-06_1/111934685', 'https://homes.bg/2024-11-06_1/111934677', 'https://homes.bg/2024-11-06_1/111934678']",68300.0,EUR,28 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633295,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
12129,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-8300m2-nesebyr-s.kosharica/la12129,,"с.Кошарица, Несебър","Земеделска земя, 8300m²","Категория 1, Ливада",1,"['https://homes.bg/2013-07-19_2/124430', 'https://homes.bg/2013-07-19_2/124431', 'https://homes.bg/2013-07-19_2/124432', 'https://homes.bg/2013-07-19_2/124433', 'https://homes.bg/2013-07-19_2/124434', 'https://homes.bg/2013-07-19_2/124435']",135000.0,EUR,16 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633308,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34728,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2300m2-plovdiv-s.caracovo/la34728,,"с.Царацово, Пловдив","Земеделска земя, 2300m²",Нива,1,['https://homes.bg/2025-01-04_2/112585648'],50000.0,EUR,21 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633318,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
19222,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-5999m2-pleven-s.yasen/la19222,,"с.Ясен, Плевен","Земеделска земя, 5999m²","Категория 4, Нива",1,"['https://homes.bg/2023-12-07_2/107559841', 'https://homes.bg/2023-12-07_2/107559842', 'https://homes.bg/2023-12-07_2/107559843']",60000.0,ЛЕВА,10 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633329,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
24140,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-4960m2-pleven-zhk.-storgoziya/la24140,,"жк. Сторгозия, Плевен","Земеделска земя, 4960m²","Категория 5, Нива",1,"['https://homes.bg/2025-01-04_2/112585007', 'https://homes.bg/2025-01-04_2/112585008', 'https://homes.bg/2025-01-04_2/112585009', 'https://homes.bg/2025-01-04_2/112585010', 'https://homes.bg/2025-01-04_2/112585011', 'https://homes.bg/2025-01-04_2/112585012']",60000.0,ЛЕВА,12 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633341,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34480,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3373m2-plovdiv-industrialna-zona---iztok/la34480,," Индустриална зона - Изток, Пловдив","Земеделска земя, 3373m²","Категория 5, Нива",1,"['https://homes.bg/2024-09-29_1/111425580', 'https://homes.bg/2024-09-29_1/111425581', 'https://homes.bg/2024-09-29_1/111425582', 'https://homes.bg/2024-09-29_1/111425583', 'https://homes.bg/2024-09-29_1/111425584']",50595.0,EUR,15 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633353,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34478,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-5853m2-plovdiv-industrialna-zona---iztok/la34478,," Индустриална зона - Изток, Пловдив","Земеделска земя, 5853m²","Категория 5, Нива",1,"['https://homes.bg/2024-09-29_1/111425570', 'https://homes.bg/2024-09-29_1/111425571', 'https://homes.bg/2024-09-29_1/111425572', 'https://homes.bg/2024-09-29_1/111425573', 'https://homes.bg/2024-09-29_1/111425574', 'https://homes.bg/2024-09-29_1/111425575']",175590.0,EUR,30 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633365,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
