id,type,url,title,location,description,price_value,price_currency,main_photo,photos,is_favorite,date_added,floor,price_per_square_meter,offer_type,property_type,agency,price,currency,city,neighborhood,contact_info,agency_url,details_url,num_photos,site,price_per_m2,ref_no,area
1538585,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-145m2-sofiya-oborishte/as1538585,"Тристаен, 145m²"," Оборище, София","Тухла, Необзаведен, Електричество",408502.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112483950'), HttpUrl('https://homes.bg/2024-12-18_2/112483952'), HttpUrl('https://homes.bg/2024-12-18_2/112483954'), HttpUrl('https://homes.bg/2024-12-18_2/112483956'), HttpUrl('https://homes.bg/2024-12-18_2/112483958')]",False,2025-01-09T06:02:31.396658,,"2,817 EUR/m²",продажба,PropertyType.TRISTAEN,,408502,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-145m2-sofiya-oborishte/as1538585,5,Site.HOMESBG,"2,817 EUR/m²",1538585,
1604026,as,https://homes.bg/offer/apartament-za-prodazhba/mnogostaen-178m2-sofiya-oborishte/as1604026,"Многостаен, 178m²"," Оборище, София",,522263.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112483942'), HttpUrl('https://homes.bg/2024-12-18_2/112483944'), HttpUrl('https://homes.bg/2024-12-18_2/112483946'), HttpUrl('https://homes.bg/2024-12-18_2/112483948')]",False,2025-01-09T06:02:31.396658,,"2,934 EUR/m²",продажба,PropertyType.UNKNOWN,,522263,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/mnogostaen-178m2-sofiya-oborishte/as1604026,4,Site.HOMESBG,"2,934 EUR/m²",1604026,
1539466,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-135m2-sofiya-oborishte/as1539466,"Тристаен, 135m²"," Оборище, София",Тухла,354820.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484186'), HttpUrl('https://homes.bg/2024-12-18_2/112484188'), HttpUrl('https://homes.bg/2024-12-18_2/112484190'), HttpUrl('https://homes.bg/2024-12-18_2/112484192'), HttpUrl('https://homes.bg/2024-12-18_2/112484194')]",False,2025-01-09T06:02:31.396658,,"2,628 EUR/m²",продажба,PropertyType.TRISTAEN,,354820,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-135m2-sofiya-oborishte/as1539466,5,Site.HOMESBG,"2,628 EUR/m²",1539466,
1539184,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-132m2-sofiya-oborishte/as1539184,"Тристаен, 132m²"," Оборище, София",Тухла,349464.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484060'), HttpUrl('https://homes.bg/2024-12-18_2/112484062'), HttpUrl('https://homes.bg/2024-12-18_2/112484064'), HttpUrl('https://homes.bg/2024-12-18_2/112484066'), HttpUrl('https://homes.bg/2024-12-18_2/112484068')]",False,2025-01-09T06:02:31.396658,,"2,647 EUR/m²",продажба,PropertyType.TRISTAEN,,349464,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-132m2-sofiya-oborishte/as1539184,5,Site.HOMESBG,"2,647 EUR/m²",1539184,
1539193,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-138m2-sofiya-oborishte/as1539193,"Тристаен, 138m²"," Оборище, София",Тухла,360349.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484108'), HttpUrl('https://homes.bg/2024-12-18_2/112484110'), HttpUrl('https://homes.bg/2024-12-18_2/112484112'), HttpUrl('https://homes.bg/2024-12-18_2/112484113'), HttpUrl('https://homes.bg/2024-12-18_2/112484114')]",False,2025-01-09T06:02:31.396658,,"2,611 EUR/m²",продажба,PropertyType.TRISTAEN,,360349,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-138m2-sofiya-oborishte/as1539193,5,Site.HOMESBG,"2,611 EUR/m²",1539193,
1539197,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-149m2-sofiya-oborishte/as1539197,"Тристаен, 149m²"," Оборище, София",Тухла,377190.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484121'), HttpUrl('https://homes.bg/2024-12-18_2/112484123'), HttpUrl('https://homes.bg/2024-12-18_2/112484125'), HttpUrl('https://homes.bg/2024-12-18_2/112484127'), HttpUrl('https://homes.bg/2024-12-18_2/112484129')]",False,2025-01-09T06:02:31.396658,,"2,531 EUR/m²",продажба,PropertyType.TRISTAEN,,377190,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-149m2-sofiya-oborishte/as1539197,5,Site.HOMESBG,"2,531 EUR/m²",1539197,
1539198,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-144m2-sofiya-oborishte/as1539198,"Тристаен, 144m²"," Оборище, София",Тухла,364638.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484131'), HttpUrl('https://homes.bg/2024-12-18_2/112484133'), HttpUrl('https://homes.bg/2024-12-18_2/112484134'), HttpUrl('https://homes.bg/2024-12-18_2/112484136'), HttpUrl('https://homes.bg/2024-12-18_2/112484139')]",False,2025-01-09T06:02:31.396658,,"2,532 EUR/m²",продажба,PropertyType.TRISTAEN,,364638,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-144m2-sofiya-oborishte/as1539198,5,Site.HOMESBG,"2,532 EUR/m²",1539198,
1539470,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-148m2-sofiya-oborishte/as1539470,"Четиристаен, 148m²"," Оборище, София",Тухла,466689.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484216'), HttpUrl('https://homes.bg/2024-12-18_2/112484218'), HttpUrl('https://homes.bg/2024-12-18_2/112484220'), HttpUrl('https://homes.bg/2024-12-18_2/112484222'), HttpUrl('https://homes.bg/2024-12-18_2/112484223')]",False,2025-01-09T06:02:31.396658,,"3,153 EUR/m²",продажба,PropertyType.CHETIRISTAEN,,466689,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-148m2-sofiya-oborishte/as1539470,5,Site.HOMESBG,"3,153 EUR/m²",1539470,
1557112,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-174m2-sofiya-oborishte/as1557112,"Четиристаен, 174m²"," Оборище, София","Тухла, Необзаведен, Електричество",553822.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484283'), HttpUrl('https://homes.bg/2024-12-18_2/112484284'), HttpUrl('https://homes.bg/2024-12-18_2/112484285'), HttpUrl('https://homes.bg/2024-12-18_2/112484286')]",False,2025-01-09T06:02:31.396658,,"3,182 EUR/m²",продажба,PropertyType.CHETIRISTAEN,,553822,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-174m2-sofiya-oborishte/as1557112,4,Site.HOMESBG,"3,182 EUR/m²",1557112,
1557116,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-60m2-sofiya-oborishte/as1557116,"Двустаен, 60m²"," Оборище, София","Тухла, Необзаведен, Електричество",201595.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484300'), HttpUrl('https://homes.bg/2024-12-18_2/112484302'), HttpUrl('https://homes.bg/2024-12-18_2/112484304'), HttpUrl('https://homes.bg/2024-12-18_2/112484306')]",False,2025-01-09T06:02:31.396658,,"3,359 EUR/m²",продажба,PropertyType.UNKNOWN,,201595,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-60m2-sofiya-oborishte/as1557116,4,Site.HOMESBG,"3,359 EUR/m²",1557116,
1603954,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-94m2-sofiya-oborishte/as1603954,"Тристаен, 94m²"," Оборище, София","Тухла, Полуобзаведен, ТЕЦ",445000.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-17_2/112465489'), HttpUrl('https://homes.bg/2024-12-17_2/112465490'), HttpUrl('https://homes.bg/2024-12-17_2/112465491'), HttpUrl('https://homes.bg/2024-12-17_2/112465492'), HttpUrl('https://homes.bg/2024-12-17_2/112465493'), HttpUrl('https://homes.bg/2024-12-17_2/112465494'), HttpUrl('https://homes.bg/2024-12-17_2/112465495'), HttpUrl('https://homes.bg/2024-12-17_2/112465496'), HttpUrl('https://homes.bg/2024-12-17_2/112465497'), HttpUrl('https://homes.bg/2024-12-17_2/112465498')]",False,2025-01-09T06:02:31.396658,,"4,734 EUR/m²",продажба,PropertyType.TRISTAEN,,445000,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-94m2-sofiya-oborishte/as1603954,10,Site.HOMESBG,"4,734 EUR/m²",1603954,
1578168,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-125m2-sofiya-oborishte/as1578168,"Тристаен, 125m²"," Оборище, София","Тухла, ТЕЦ",328000.0,EUR,,[HttpUrl('https://homes.bg/2024-07-17_1/110453001')],False,2025-01-09T06:02:31.396658,,"2,624 EUR/m²",продажба,PropertyType.TRISTAEN,,328000,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-125m2-sofiya-oborishte/as1578168,1,Site.HOMESBG,"2,624 EUR/m²",1578168,
1598908,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-128m2-sofiya-oborishte/as1598908,"Тристаен, 128m²"," Оборище, София",Тухла,282100.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-13_2/112429478'), HttpUrl('https://homes.bg/2024-12-13_2/112429479'), HttpUrl('https://homes.bg/2024-12-13_2/112429480')]",False,2025-01-09T06:02:31.396658,,"2,203 EUR/m²",продажба,PropertyType.TRISTAEN,,282100,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-128m2-sofiya-oborishte/as1598908,3,Site.HOMESBG,"2,203 EUR/m²",1598908,
1602962,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-90m2-sofiya-oborishte/as1602962,"Тристаен, 90m²"," Оборище, София","Панел, Необзаведен, ТЕЦ",250000.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-09_2/112371245'), HttpUrl('https://homes.bg/2024-12-09_2/112371244'), HttpUrl('https://homes.bg/2024-12-09_2/112371237'), HttpUrl('https://homes.bg/2024-12-09_2/112371241'), HttpUrl('https://homes.bg/2024-12-09_2/112371240'), HttpUrl('https://homes.bg/2024-12-09_2/112371243'), HttpUrl('https://homes.bg/2024-12-09_2/112371238'), HttpUrl('https://homes.bg/2024-12-09_2/112371239'), HttpUrl('https://homes.bg/2024-12-09_2/112371242'), HttpUrl('https://homes.bg/2024-12-09_2/112371236')]",False,2025-01-09T06:02:31.396658,,"2,777 EUR/m²",продажба,PropertyType.TRISTAEN,,250000,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-90m2-sofiya-oborishte/as1602962,10,Site.HOMESBG,"2,777 EUR/m²",1602962,
1493016,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-146m2-sofiya-oborishte/as1493016,"Тристаен, 146m²"," Оборище, София","Тухла, ТЕЦ",497351.0,EUR,,"[HttpUrl('https://homes.bg/2023-05-16_1/99216810'), HttpUrl('https://homes.bg/2023-05-16_1/99216812'), HttpUrl('https://homes.bg/2023-05-16_1/99216814'), HttpUrl('https://homes.bg/2023-05-16_1/99216816'), HttpUrl('https://homes.bg/2023-05-16_1/99216818'), HttpUrl('https://homes.bg/2023-05-16_1/99216820'), HttpUrl('https://homes.bg/2023-05-16_1/99216822'), HttpUrl('https://homes.bg/2023-05-16_1/99216824'), HttpUrl('https://homes.bg/2023-05-16_1/99216826'), HttpUrl('https://homes.bg/2023-05-16_1/99216828')]",False,2025-01-09T06:02:31.396658,,"3,406 EUR/m²",продажба,PropertyType.TRISTAEN,,497351,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-146m2-sofiya-oborishte/as1493016,10,Site.HOMESBG,"3,406 EUR/m²",1493016,
