price_text,title,location,details_text,description,details_url,ref_no,offer_type,agency_name,num_photos,search_url,scraped_at
960 €,Тристаен апартамент,"гр. София / кв. Младост 4 / Софийска област, България",Площ:108 м²Спални:2Етаж:9Етажност на сградата:10,,https://www.suprimmo.bg/imot-136369-chisto-nov-tristaen-apartament-pod-naem-do-biznes-park-sofiya/,Kbs 136369,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:33.516044
710 €,Двустаен апартамент,"гр. София / кв. Младост 4 / Софийска област, България",Площ:70 м²Спални:1Етаж:9Етажност на сградата:10,,https://www.suprimmo.bg/imot-136372-chisto-nov-dvustaen-apartament-pod-naem-do-biznes-park-mladost/,Kbs 136372,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:33.517038
1 600 €,Четиристаен апартамент,"гр. София / кв. Витоша / Софийска област, България",Площ:240 м²Спални:3Етаж:6Етажност на сградата:6,,https://www.suprimmo.bg/imot-136382-ekskluziven-prostoren-chetiristaen-penthaus-s-gledki-kam-vitosha/,SOF-136382,продава,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:33.518018
930 €,Двустаен апартамент,"гр. София / кв. Горна баня / Софийска област, България",Площ:89.04 м²Спални:1Етаж:1Етажност на сградата:5,,https://www.suprimmo.bg/imot-136393-nov-dvustaen-apartament-pod-naem-v-kompleks-gloria-palace-residence/,SOF-136393,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:33.518949
900 €,Тристаен апартамент,"гр. София / кв. Стрелбище / Софийска област, България",Площ:100 м²Спални:2Етаж:2Етажност на сградата:9,,https://www.suprimmo.bg/imot-136316-prostoren-uyuten-tristaen-apartament-pod-naem-v-kv-strelbishte/,SOF-136316,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:33.519834
750 €,Двустаен апартамент,"гр. София / кв. Медицинска академия / Софийска област, България",Площ:70 м²Спални:1Етаж:2Етажност на сградата:5,,https://www.suprimmo.bg/imot-130511-obzaveden-dvustaen-apartament-pod-naem-na-200-metra-ot-bolnitsa-pirogov/,SOF-130511,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:33.520701
1 170 €,Тристаен апартамент,"гр. София / кв. Лозенец / Софийска област, България",Площ:111 м²Спални:2Етаж:3Етажност на сградата:5,,https://www.suprimmo.bg/imot-136296-komforten-tristaen-apartament-s-garaj-pod-naem-do-loven-park-v-lozenets/,SOF-136296,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:36.632636
1 000 €,Четиристаен апартамент,"гр. София / кв. Стрелбище / Софийска област, България",Площ:170 м²Спални:3Етаж:2Етажност на сградата:7,,https://www.suprimmo.bg/imot-136251-prostoren-chetiristaen-apartament-pod-naem-blizo-do-metrostantsiya-balgariya/,SOF-136251,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:36.633548
780 €,Двустаен апартамент,"гр. София / кв. Манастирски ливади - Запад / Софийска област, България",Площ:64 м²Спални:1Етаж:5Етажност на сградата:9,,https://www.suprimmo.bg/imot-136286-uyuten-dvustaen-apartament-pod-naem-v-kv-manastirski-livadi/,Kbs 136286,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:36.634524
1 000 €,Тристаен апартамент,"гр. София / кв. Зона Б-5 / Софийска област, България",Площ:100 м²Спални:2Етаж:12Етажност на сградата:16,,https://www.suprimmo.bg/imot-136211-prekrasen-tristaen-apartament-pod-naem-do-park-vazrajdane/,SOF-136211,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:36.635484
