price_text,title,location,location_info,description,details_url,contact_info,search_url,scraped_at
1 200 €2 347 лв.Не се начислява ДДС,Дава под наем  3-стаен,"град София, Изток","град София, Изток
110 кв.м","4-ти ет., ТЕЦ, Луксозно завършен и обзаведен апартамент по дизайнерски проект с висококачествени мебели по поръчка, ...",https://www.imoti.com/obiava/62776868/dava-pod-naem-3-staen-grad-sofiya-iztok,0888660255,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:14.801593
"1 400 €2 738,16 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Изток","град София, Изток
120 кв.м","5-ти ет., ТЕЦ, Апартамент в затворен комплекс. Състои се от : просторен хол с трапезария , кухенски бокс , перално  ...",https://www.imoti.com/obiava/68157947/dava-pod-naem-3-staen-grad-sofiya-iztok,089521-21-21,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:14.801954
"850 €1 662,46 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Медицинска академия","град София, Медицинска академия
97 кв.м","5-ти ет., ТЕЦ, Дизаро Естейтс представя ексклузивно на Вашето внимание 3-стаен апартамент намиращ се на ул. 'Ами Бу ...",https://www.imoti.com/obiava/15763673/dava-pod-naem-3-staen-grad-sofiya-meditsinska-akademiya,0897244622,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:14.802309
"1 100 €2 151,41 лв.Цената е с включено ДДС",Дава под наем  3-стаен,"град София, Оборище","град София, Оборище
120 кв.м","6-ти ет., ТЕЦ, Предлагаме Ви модерен и луксозен тристаен апартамент!Разпределение на жилищната площ:- Просторна кух ...",https://www.imoti.com/obiava/71951197/dava-pod-naem-3-staen-grad-sofiya-oborishte,0887069908,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:14.802686
"649 €1 269,33 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Подуяне","град София, Подуяне
87 кв.м","2-ри ет., ТЕЦ, Агенция за недвижими имоти Vice Real Estate с удоволствие Ви представя тристаен апартамент под наем, ...",https://www.imoti.com/obiava/35539298/dava-pod-naem-3-staen-grad-sofiya-poduyane,0892976004,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:14.803045
"949 €1 856,08 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Хиподрума","град София, Хиподрума
95 кв.м","2-ри ет., Агенция за недвижими имоти Vice Real Estate с удоволствие Ви представя тристаен апартамент под наем, ...",https://www.imoti.com/obiava/72222149/dava-pod-naem-3-staen-grad-sofiya-hipodruma,0892976004,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:14.803416
"950 €1 858,04 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Хиподрума","град София, Хиподрума
94 кв.м","2-ри ет., Отдава се под наем страхотен НОВ просторен апартамент -94 м2 в жк. Хиподрума. Жилището е бутиково, н ...",https://www.imoti.com/obiava/15216970/dava-pod-naem-3-staen-grad-sofiya-hipodruma,0887699259,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:14.803782
"1 000 €1 955,83 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Хиподрума","град София, Хиподрума
110 кв.м","3-ти ет., ТЕЦ, Предлагаме Ви напълно обзаведен апартамент в непосредствена близост до бул.  България .Апартаментът  ...",https://www.imoti.com/obiava/66324097/dava-pod-naem-3-staen-grad-sofiya-hipodruma,0888238737,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:14.804140
"790 €1 545,11 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Хладилника","град София, Хладилника
90 кв.м","1-ви ет., Предлагаме Ви напълно обзаведен апартамент, разположен на изключително комуникативно място   входът  ...",https://www.imoti.com/obiava/75344293/dava-pod-naem-3-staen-grad-sofiya-hladilnika,0888238737,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:14.804512
"750 €1 466,87 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Яворов","град София, Яворов
100 кв.м","ID-1846;Топ локация!!! ОГЛЕД ПО ВСЯКО ВРЕМЕ!БЕЗ КОМИСИОННА!!!Представяме Ви тристаен, напълно обзаве ...",https://www.imoti.com/obiava/89218040/dava-pod-naem-3-staen-grad-sofiya-yavorov,0884235446,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:14.804873
