id,,url,title,location,description,price,photos,main_photo,is_favorite,reference_number,contact_info,price_per_m2,floor,is_top_ad
1432916,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-107m2-sofiya-zhk.-ovcha-kupel/as1432916,"Тристаен, 107m²","жк. Овча Купел, София",Необзаведен,"{'value': '192,500', 'currency': 'EUR', 'price_per_square_meter': '1,799 EUR/m²'}","['https://homes.bg/2022-08-12_1/87355033', 'https://homes.bg/2022-08-12_1/87355035', 'https://homes.bg/2022-08-12_1/87355037', 'https://homes.bg/2022-08-12_1/87355039', 'https://homes.bg/2022-08-12_1/87355041']",https://homes.bg/2022-08-12_1/87355033,False,,,,,
1432926,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-126m2-sofiya-zhk.-ovcha-kupel/as1432926,"Тристаен, 126m²","жк. Овча Купел, София",Необзаведен,"{'value': '205,500', 'currency': 'EUR', 'price_per_square_meter': '1,630 EUR/m²'}","['https://homes.bg/2022-08-12_1/87355169', 'https://homes.bg/2022-08-12_1/87355171', 'https://homes.bg/2022-08-12_1/87355173', 'https://homes.bg/2022-08-12_1/87355175', 'https://homes.bg/2022-08-12_1/87355178']",https://homes.bg/2022-08-12_1/87355169,False,,,,,
1583069,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-133m2-sofiya-zhk.-ovcha-kupel/as1583069,"Тристаен, 133m²","жк. Овча Купел, София",Необзаведен,"{'value': '260,000', 'currency': 'EUR', 'price_per_square_meter': '1,954 EUR/m²'}","['https://homes.bg/2024-08-15_1/110849647', 'https://homes.bg/2024-08-15_1/110849648', 'https://homes.bg/2024-08-15_1/110849649', 'https://homes.bg/2024-08-15_1/110849650', 'https://homes.bg/2024-08-15_1/110849651']",https://homes.bg/2024-08-15_1/110849647,False,,,,,
1432906,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-73m2-sofiya-zhk.-ovcha-kupel/as1432906,"Двустаен, 73m²","жк. Овча Купел, София",Необзаведен,"{'value': '132,500', 'currency': 'EUR', 'price_per_square_meter': '1,815 EUR/m²'}","['https://homes.bg/2022-08-12_1/87354829', 'https://homes.bg/2022-08-12_1/87354831', 'https://homes.bg/2022-08-12_1/87354833', 'https://homes.bg/2022-08-12_1/87354835', 'https://homes.bg/2022-08-12_1/87354837']",https://homes.bg/2022-08-12_1/87354829,False,,,,,
1602291,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-46m2-sofiya-zhk.-ovcha-kupel/as1602291,"Двустаен, 46m²","жк. Овча Купел, София","Тухла, Необзаведен, Локално отопление","{'value': '135,000', 'currency': 'EUR', 'price_per_square_meter': '2,934 EUR/m²'}","['https://homes.bg/2024-12-05_2/112331672', 'https://homes.bg/2024-12-05_2/112331673', 'https://homes.bg/2024-12-05_2/112331674', 'https://homes.bg/2024-12-05_2/112331675', 'https://homes.bg/2024-12-05_2/112331676', 'https://homes.bg/2024-12-05_2/112331677']",https://homes.bg/2024-12-05_2/112331672,False,,,,,
1602126,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-60m2-sofiya-zhk.-ovcha-kupel/as1602126,"Двустаен, 60m²","жк. Овча Купел, София",Необзаведен,"{'value': '150,877', 'currency': 'EUR', 'price_per_square_meter': '2,514 EUR/m²'}","['https://homes.bg/2024-12-04_1/112308866', 'https://homes.bg/2024-12-04_1/112308867', 'https://homes.bg/2024-12-04_1/112308868', 'https://homes.bg/2024-12-04_1/112308869', 'https://homes.bg/2024-12-04_1/112308870', 'https://homes.bg/2024-12-04_1/112308871', 'https://homes.bg/2024-12-04_1/112308872', 'https://homes.bg/2024-12-04_1/112308873', 'https://homes.bg/2024-12-04_1/112308874']",https://homes.bg/2024-12-04_1/112308866,False,,,,,
1602127,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-101m2-sofiya-zhk.-ovcha-kupel/as1602127,"Тристаен, 101m²","жк. Овча Купел, София",Необзаведен,"{'value': '210,558', 'currency': 'EUR', 'price_per_square_meter': '2,084 EUR/m²'}","['https://homes.bg/2024-12-04_1/112308875', 'https://homes.bg/2024-12-04_1/112308876', 'https://homes.bg/2024-12-04_1/112308877', 'https://homes.bg/2024-12-04_1/112308878', 'https://homes.bg/2024-12-04_1/112308879', 'https://homes.bg/2024-12-04_1/112308880', 'https://homes.bg/2024-12-04_1/112308881', 'https://homes.bg/2024-12-04_1/112308882', 'https://homes.bg/2024-12-04_1/112308883', 'https://homes.bg/2024-12-04_1/112308884']",https://homes.bg/2024-12-04_1/112308875,False,,,,,
1602125,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-54m2-sofiya-zhk.-ovcha-kupel/as1602125,"Двустаен, 54m²","жк. Овча Купел, София",Необзаведен,"{'value': '145,733', 'currency': 'EUR', 'price_per_square_meter': '2,698 EUR/m²'}","['https://homes.bg/2024-12-04_1/112308857', 'https://homes.bg/2024-12-04_1/112308858', 'https://homes.bg/2024-12-04_1/112308859', 'https://homes.bg/2024-12-04_1/112308860', 'https://homes.bg/2024-12-04_1/112308861', 'https://homes.bg/2024-12-04_1/112308862', 'https://homes.bg/2024-12-04_1/112308863', 'https://homes.bg/2024-12-04_1/112308864', 'https://homes.bg/2024-12-04_1/112308865']",https://homes.bg/2024-12-04_1/112308857,False,,,,,
1602122,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-91m2-sofiya-zhk.-ovcha-kupel/as1602122,"Тристаен, 91m²","жк. Овча Купел, София",Необзаведен,"{'value': '222,043', 'currency': 'EUR', 'price_per_square_meter': '2,440 EUR/m²'}","['https://homes.bg/2024-12-04_1/112308830', 'https://homes.bg/2024-12-04_1/112308831', 'https://homes.bg/2024-12-04_1/112308832', 'https://homes.bg/2024-12-04_1/112308833', 'https://homes.bg/2024-12-04_1/112308834', 'https://homes.bg/2024-12-04_1/112308835', 'https://homes.bg/2024-12-04_1/112308836', 'https://homes.bg/2024-12-04_1/112308837', 'https://homes.bg/2024-12-04_1/112308838']",https://homes.bg/2024-12-04_1/112308830,False,,,,,
1602124,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-67m2-sofiya-zhk.-ovcha-kupel/as1602124,"Двустаен, 67m²","жк. Овча Купел, София",Необзаведен,"{'value': '137,637', 'currency': 'EUR', 'price_per_square_meter': '2,054 EUR/m²'}","['https://homes.bg/2024-12-04_1/112308848', 'https://homes.bg/2024-12-04_1/112308849', 'https://homes.bg/2024-12-04_1/112308850', 'https://homes.bg/2024-12-04_1/112308851', 'https://homes.bg/2024-12-04_1/112308852', 'https://homes.bg/2024-12-04_1/112308853', 'https://homes.bg/2024-12-04_1/112308854', 'https://homes.bg/2024-12-04_1/112308855', 'https://homes.bg/2024-12-04_1/112308856']",https://homes.bg/2024-12-04_1/112308848,False,,,,,
